NOMBRE;CIRCUNSCRIPCION;FORMACIONELECTORAL;FECHACONDICIONPLENA;FECHAALTA;GRUPOPARLAMENTARIO;FECHAALTAENGRUPOPARLAMENTARIO;FECHABAJAENGRUPOPARLAMENTARIO;BIOGRAFIA
Pascual Rocamora, Sandra;Alicante/Alacant;PP;17/08/2023;09/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Graduada en Economía (UA). Título propio Máster en Gestión y Análisis de Riesgos Financieros (UDIMA)
Pastor Julián, Ana María;Pontevedra;PP;17/08/2023;02/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;"Licenciada en Medicina y Cirugía. Funcionaria de carrera del Cuerpo Superior Salud Pública y Administración Sanitaria. Especialista en Medicina Familiar y Comunitaria.  Ministra de Sanidad y Consumo. Ministra de Fomento. Vicepresidenta del Congreso de los Diputados. 
Secretaria Ejecutiva de Política Social del PP (2004-2008). Subsecretaria del Ministerio de Educación y Cultura. Subsecretaria del Ministerio de la Presidencia. Subsecretaria del Ministerio del Interior. Presidenta del Congreso de los Diputados"
Pedreño Molina, Juan Luis;Murcia;PP;17/08/2023;16/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;"Doctor Ingeniero de Telecomunicación en Neurotecnología, Control y Robótica.
Catedrático de la Universidad Politécnica de Cartagena (UPCT). 
Decano del Colegio Oficial de Ingenieros de Telecomunicación de la Región de Murcia.
Miembro de la Junta de Gobierno del Colegio Oficial de Ingenieros de Telecomunicación. 
Vicepresidente de la Asociación Española de Ingenieros de Telecomunicación (2012). 
Vicerrector de Tecnologías de la Información y las Comunicaciones en la UPCT (2012-2015). 
Diputado Regional de Murcia IX legislatura (2015-2019). 
Portavoz de la Comisión de Industria, Trabajo, Comercio y Turismo (2015-2019). Portavoz en la Comisión de Asuntos Económicos y Transformación Digital en la XIV Legislatura."
Peña Camarero, Esther;Burgos;PSOE;17/08/2023;03/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Casada. Una niña  Licenciada en Sociología por la Universidad de Salamanca.  Postgrado Universitario Integración Laboral U. País Vasco.   Postgrado Universitario Servicios sociales U. Burgos    Postgrado Universitario Agente Desarrollo Local U. Alcalá  Diputada Provincial  Técnico de inserción
Perea i Conillas, María Mercè;Barcelona;PSC-PSOE;17/08/2023;02/08/2023;Grupo Parlamentario Socialista;28/08/2023;;"Casada. 
Licenciada en Derecho. 
Abogada no ejerciente. 
Teniente de Alcalde Área de Seguridad Ciudadana en L'Hospitalet. Concejal Distrito I. 
Teniente de Alcalde de Hacienda y Recursos Generales en L'Hospitalet. 
Secretaria de Política Municipal del PSC L'Hospitalet. Miembro del Consejo Nacional.
Ha desarrollado actividad política desde 2007 a 2015.  
Presidenta de la Comisión de Ética del Partit dels Socialistes de Catalunya.  Secretaria de Política Económica y Social de la Comisión Ejecutiva de la Federación del PSC de L'Hospitalet.  Miembro del Consejo Nacional  Vocal en la Sectorial de Justicia y miembro del Consejo de Mujeres del PSC"
Pérez Coronado, Pablo;Segovia;PP;17/08/2023;02/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado.   Licenciado en Administración y Dirección de Empresas.   Gestor Patrimonial.   Instituto Español de Analistas Financieros.   Curso de Defensa Nacional CESEDEN .   Senador 2019 2023.  Concejal Ayuntamiento de Segovia de 2009 2014 .   Portavoz grupo municipal del Partido Popular del Ayuntamiento de Segovia
Pérez López, Álvaro;Coruña (A);PP;17/08/2023;02/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado con una hija  Licenciado en Derecho por la Universidad Pontificia de Comillas ICADE E-1  Máster en Derecho comunitario por la Universidad Libre de Bruselas   Abogado no ejerciente  2009-2020 Director General de Gabinete de la Presidencia de la Xunta de Galicia  2020-2022 Secretario General de la Presidencia de la Xunta de Galicia   Diputado del Parlamento de Galicia en las IX, X, XI legislaturas   Asesor conselleros de Medio Ambiente de la Xunta de Galicia (1999-2002)  Asesor Vicepresidencia 1ª de la Xunta de Galicia (2002-2005)
Pérez Ortiz, Isabel María;Málaga;PSOE;17/08/2023;01/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Arquitecta  Concejala del Ayuntamiento de Marbella, con labores de gobierno como concejala de urbanismo entre 2015-2017.  En la actualidad, portavoz del Grupo Municipal Socialista y miembro de la ejecutiva en la agrupación de Marbella
Pérez Osma, Daniel;Cuenca;PP;17/08/2023;02/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Soltero. Licenciatura en Derecho. Alcalde de Las Valeras 2013-2023 (Actualidad). Diputado Provincial 2016-2023
Pérez Recuerda, Isabel Gema;Málaga;PP;17/08/2023;03/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;"Magisterio Filología Inglesa. Universidad de Málaga.  
Máster Empleabilidad y Mediación Social.  
Máster Educación Social.  
Concejal Empleo, Bienestar Social y Vivienda.  
Delegada Transparencia y Buen Gobierno. "
Pin Ferrando, Gala;Barcelona;SUMAR;17/08/2023;16/08/2023;Grupo Parlamentario Plurinacional SUMAR;28/08/2023;;"Activista social y defensora de la soberanía tecnológica. Monomami. Reside en Barcelona.  Cursó estudios de filosofía sin acabarlos. Ha trabajado en comunicación, como traductora de alemán; los últimos años ha sido consultora en temas de inteligencia artificial, tecnología y derechos humanos.  Ha formado parte de movimientos sociales de base desde 2005, el movimiento vecinal, el movimiento por el derecho a la vivienda y a en la ciudad y redes de soberanía tecnológica.  Concejal en Barcelona (2015-2019).  Ha trabajado en programas relacionados con los derechos en el ámbito digital, de camarera, de productora cultural y como consultora de renovación democrática e inteligencia artificial."
Pisarello Prados, Gerardo;Barcelona;SUMAR;17/08/2023;16/08/2023;Grupo Parlamentario Plurinacional SUMAR;28/08/2023;;Doctor en Derecho.  Profesor titular de Derecho Constitucional, Universidad de Barcelona.  Vicealcalde del Ayuntamiento de Barcelona (2005-2019).  Portavoz de Catalunya en Comú
Plaza García, Inés;Almería;PSOE;17/08/2023;03/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciada en Psicopedagogía  Diplomada en Magisterio, Educación Primaria  concejala del Ayuntamiento de Almería desde 2007 al 2019  Senadora en las legislaturas XII y XIV, desde 2019 a 2023
Poblador Pacheco, María Araceli;Alicante/Alacant;PSOE;17/08/2023;02/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciada en Geografía e Historia.   Funcionaria Grupo A1.   Profesora de Enseñanza Secundaria Obligatoria y Bachillerato.   28 años de experiencia docente en institutos de titularidad pública.   16 años como Jefa del Departamento de Geografía e Historia.   Subdelegada del Gobierno en Alicante desde julio de 2018 hasta junio de 2023.   Presidenta de la Comisión Ejecutiva Provincial del PSPV Alicante en la actualidad.   Secretaria del Área de Justicia Social de la CEP del PSPV Alicante.   Profesora de Lengua Castellana y Literatura  (San Vicente Ferrer) 2 años.   Miembro del tribunal en procesos selectivos y calificadores Pau y acceso a cuerpos docentes de enseñanza secundaria
Pose Mesura, Modesto;Pontevedra;PsdeG-PSOE;17/08/2023;07/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Casado, dos hijos.   Licenciado en Medicina y Cirugía.   Médico de familia.   Inspector médico.   Médico asistencial, gestión sanitaria inspector.   Diputado en el Parlamento de Galicia.   Senador. 
Pozueta Fernández, Isabel;Navarra;EH Bildu;17/08/2023;14/08/2023;Grupo Parlamentario Euskal Herria Bildu;18/08/2023;;Socióloga. Sexóloga
Prieto Serrano, María Isabel;Córdoba;PP;17/08/2023;03/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciada en Derecho universidad de Córdoba.  Letrada Administración Seguridad Social (TGSS e INSS Córdoba) desde 2001.  Directora Provincial SEPE 2012-2018 Córdoba.  Coordinadora territorial SEPE Andalucía 2012-2018.  Letrada junta Castilla-La Mancha 2004-2007.  Curso Doctorando derecho Procesal Universidad de Barcelona 2002-2003
Puente Santiago, Óscar;Valladolid;PSOE;17/08/2023;03/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Dos hijas.  Licenciado en Derecho. Universidad de Valladolid.  Actor teatro 1988-1999.  Abogado 1995-2015.  Concejal Ayuntamiento de Valladolid 2007-actualidad.  Alcalde Ayuntamiento de Valladolid 2015-2023
Pueyo Sanz, Jorge;Zaragoza;SUMAR;17/08/2023;09/08/2023;Grupo Parlamentario Plurinacional SUMAR;28/08/2023;;Siempre le ha motivado la defensa de la cultura y la lengua aragonesa. Abogado. Máster de acceso a la abogacía por Deusto. Máster en derecho de empresa ICADE-Deusto.  Ha ejercido tres años como abogado y también como presentador y director en Aragón TV (""A escampar la Boira"") y redactor en ""Charrín Charrán"".  Militancia en Chunta Aragonesista y movimientos sociales.
Pujol Bonell, Eduard;Barcelona;JxCAT-JUNTS;17/08/2023;10/08/2023;Grupo Parlamentario Junts per Catalunya;28/08/2023;;Licenciado en Ciencias de la Información (UAB).  Periodista.  diputado Parlament de Catalunya (2017-2020).  Ex Director de RAC 1 y ex Director de Contenidos del F.C. Barcelona
Puy Fraga, Pedro;Pontevedra;PP;17/08/2023;09/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciado y Doctor en Derecho. Profesor titular de Economía Aplicada en la Universidad de Santiago de Compostela.  Director General de Relaciones Institucionales en la Xunta de Galicia (2002-2005). Conselleiro del Consello de Contas de Galicia (2007-2009). Diputado autonómico en el Parlamento de Galicia (2009-2023). Portavoz del Grupo Parlamentario Popular en el Parlamento de Galicia (2011-2023).  Colaborador de varios medios de comunicación, actualmente de La Voz de Galicia
Quintana Carballo, Rosa;Ourense;PP;17/08/2023;09/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casada. Un hijo.  Doctora en Biología Marina.  Funcionaria.  Conselleira del Mar en la Xunta de Galicia desde 2009 a 2023
Quintanilla Navarro, Miguel Ángel;Madrid;PP;17/08/2023;09/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado.  Doctor en Ciencias Políticas y Sociología, Universidad Complutense de Madrid-Instituto Universitario Ortega y Gasset.  Licenciado en Ciencias Políticas y Sociología, Universidad Complutense de Madrid  Diploma en Derecho Constitucional y Ciencias Políticas, Centro de Estudios Políticos y Constitucionales  Máster en Comunidades Europeas, ICADE  Profesor en diversas universidades públicas y privadas en el área de Ciencia Política y Políticas Públicas  Director Académico del Instituto Atlántico de Gobierno (2016-2019).  Director de Publicaciones de la Fundación FAES (2012-2016)  Asesor de la dirección nacional del Partido Popular (2011 y 2018 a 2022)  Asesor de la Presidencia del Gobierno de Aragón (2012-2015)
Rallo Lombarte, Artemi;Castellón/Castelló;PSOE;17/08/2023;03/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Divorciado, dos hijas.   Doctor en Derecho.   Catedrático de Derecho Constitucional.   Militante del PSPV-PSOE desde 1984.   Secretario de Derechos y Libertades de la CEN del PSPV-PSOE.   Diputado Cortes valencianas 1987-1995, Director General CEJ del Ministerio de Justicia 2004-2007.   Director Agencia Española Protección de Datos 2007-2011.   Diputado 2015-2019.   Senador 2019-2023. 
Ramajo Prada, Óscar;Zamora;PP;17/08/2023;02/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Funcionario interino A1 Técnico Superior Junta de Castilla y León.   Grado en Relaciones Laborales y Recursos Humanos Universidad de Salamanca.  Máster no oficial en Protocolo y Relaciones Institucionales.  Teniente Alcalde del Ayuntamiento de Videmala (Zamora) .   Vicesecretario de Organización del Partido Popular de Zamora.  Miembro del Comité Ejecutivo autonómico del Partido Popular de Castilla y León .   Padre de 2 hijos
Ramírez Carner, Arnau;Barcelona;PSC-PSOE;17/08/2023;03/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Politólogo.  Vive en pareja en Santa Feliú de Codines, Barcelona.   Grado en Ciencias Políticas y Gestión Pública por la UAB  Hasta ahora, responsable del equipo de redes del PSC  Primer Secretario de la Joventut Socialista de Catalunya (JSC)
Ramírez del Río, José;Córdoba;VOX;17/08/2023;03/08/2023;Grupo Parlamentario VOX;18/08/2023;;Casado y padre de dos hijos.  Licenciado y Doctor en Filología (especialidad árabe) por la Universidad de Sevilla.  Profesor titular de universidad. Universidad de Córdoba desde el 2007.  Secretario de la Directiva Provincial de VOX	en Córdoba.  Candidato de VOX en diferentes elecciones (2015-2019)  Académico correspondiente de la Real Academia de Córdoba  Premio de Investigación Abd al-Aziz Saud al-Babtayn (UGR) 2012
Ramírez Martín, María Lourdes;Granada;PP;17/08/2023;03/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciada en Derecho.   Experta en Gerencia Pública Local.   Experta en Empleo Público Local.   Cursos de igualdad y violencia de género.   2011 a 2015 Concejal de Igualdad, Sanidad y Consumo.   2015 a 2019, Concejal de Cultura e Igualdad y Seguridad.    2019 en adelante Concejal de Economía y Hacienda Gobernación, Primera Teniente de Alcalde, Portavoz del grupo municipal y provincial.   Titulada en Danza Española y Flamenco por el Real Conservatorio de Danza de Granada Reina Sofía. 
Ramírez Moreno, María de las Nieves;Málaga;PSOE;17/08/2023;01/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Diplomada en Trabajo Social  Máster en Comunicación Política y Empresarial.  Portavoz del Ayuntamiento de Torrox
Ramos Esteban, César Joaquín;Cáceres;PSOE;17/08/2023;03/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Casado.  Ingeniero Técnico Industrial.  Máster Executive MBA por la EOI.  Máster en Riesgos Laborales.  Ha trabajado como técnico de industrialización en Catelsa Cáceres del sector del automóvil, ha sido Director de Desarrollo de empresa tecnológica, ponente habitual en congresos internacionales de innovación, tecnología y gobierno abierto.  Secretario General de Juventudes Socialistas en la provincia de Cáceres.  Secretario de Innovación del PSOE de Extremadura.  Diputado Regional en Extremadura de 2006 a 2011.  Coordinador del Grupo Scout Al-Kazires y miembro de la Ejecutiva de Scout de Extremadura.  Vocal del Consejo de la Juventud de Cáceres.
Redondo Cárdenas, Gonzalo;Ciudad Real;PSOE;17/08/2023;03/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Casado. dos hijos.  Licenciado Administración y Dirección de Empresas  Concejal del Ayuntamiento de Alcázar de San Juan
Regades Fernández, David;Pontevedra;PsdeG-PSOE;17/08/2023;07/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Casado, padre de 2 hijos.   Bachillerato.   Formación Profesional, segunda rama administrativa.   Técnico medio de Prevención de Riesgos Laborales.   Concejal del Ayuntamiento de Vigo 2011-2018.   Diputado provincial de Diputación de Pontevedra 2015-2018.   Delegado del Estado Zona Franca, Vigo, 2018-2023. 
Rego Candamil, Néstor;Coruña (A);BNG;17/08/2023;10/08/2023;Grupo Parlamentario Mixto;28/08/2023;;Licenciado en Geografía e Historia.  Profesor de Lingua e Literatura Galegas
Requena Ruiz, Juan Diego;Jaén;PP;17/08/2023;07/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado, una hija  Ingeniero Químico. Universidad de Málaga.  Alcalde de Santiesteban desde 2011 hasta la actualidad.  Diputado provincial 2015-octubre 2019.  Presidente Provincial del Partido Popular de Jaén.  Su vida profesional ha estado vinculada a la obra pública en distintas obras de la alta velocidad española
Rey de las Heras, Luis Alfonso;Soria;PSOE;17/08/2023;01/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciado en Derecho.  Máster en Administración Financiera y Tributaria.  Abogado laboralista  Teniente de Alcalde y concejal del Ayuntamiento de Soria.  Presidente de la Diputación Provincial de Soria y Diputado Provincial.  Senador.  Secretario General PSOE Soria
Reynal Reillo, Esperanza;Valencia/València;PP;17/08/2023;10/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Soltera.  Doctora en Medicina.  Especialista en Ginecología.  Doctora en Derecho
Rivera Arias, Engracia;Sevilla;SUMAR;17/08/2023;08/08/2023;Grupo Parlamentario Plurinacional SUMAR;28/08/2023;;Sabadell, Barcelona.   Divorciada y madre de dos criaturas.   Licenciada en Derecho en la Universidad Autónoma de Barcelona.   Funcionaria de carrera de la Agencia Estatal de Administración Tributaria.   Concejal en Barberá del Vallés de Esquerra Unida i Alternativa, 1999-2001.   Concejal en Almensilla, Sevilla, de Izquierda Unida, 2011-2023.   Diputada provincial en la Diputación de Sevilla, 2011-2019. 
Rives Arcayna, Caridad;Murcia;PSOE;17/08/2023;10/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Casada y madre de dos hijos.  Licenciada en Ciencias Exactas.  Funcionaria del Cuerpo de Profesores de Secundaria.  1999-2015 Concejal del Ayuntamiento de Cartagena.  2023 Delegada del Gobierno en la Región de Murcia
Robles López, Joaquín;Murcia;VOX;17/08/2023;16/08/2023;Grupo Parlamentario VOX;18/08/2023;;Licenciado en Filosofía.  Profesor de Educación Secundaria
Rodríguez Almeida, Andrés Alberto;Palmas (Las);VOX;17/08/2023;10/08/2023;Grupo Parlamentario VOX;18/08/2023;;Casado y padre de 6 hijos.  Licenciado en Derecho y Diplomado en Magisterio por la Universidad Complutense de Madrid.  Abogado en ejercicio desde 2001 y empresario en diversos sectores (educativo, inmobiliario, turístico y supermercados). 
Rodríguez Calleja, Patricia;Ávila;PP;17/08/2023;02/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casada un hijo.   Diplomada en Relaciones Laborales.   Máster en Prevención de Riesgos Laborales.   Ex deportista profesional.   2003 a 2007, Concejala de Deportes y Juventud del Ayuntamiento de Ávila.   2007 a 2011, Concejala de Deportes y Participación del Ayuntamiento de Ávila.   2011 2015, Teniente Alcalde de Servicios Sociales e Igualdad.   2015 2019, Teniente Alcalde de Servicios Sociales e Igualdad.   Portavoz legislaturas XIII y XIV. 
Rodríguez de Millán Parro, María José;Madrid;VOX;17/08/2023;16/08/2023;Grupo Parlamentario VOX;18/08/2023;;Graduada en Derecho por la Universidad de Sevilla. Estudios de oposición a Registro de la Propiedad. Actualmente cursando estudios de doble máster.  Asesora política en el Grupo Parlamentario VOX Andalucía (2020-2022). Senadora por designación autonómica parlamento Andalucía (2022-2023).
Rodríguez Gómez de Celis, Alfonso;Sevilla;PSOE;17/08/2023;07/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Grado en Derecho, Universidad de Nebrija 2016.  Licenciado en Ciencias del Trabajo, URJC 1998.  Diplomado Graduado Social, Universidad de Sevilla 1996.  Asesor Fiscal y Laboral.  Concejal del Ayuntamiento de Sevilla.  Diputado del Parlamento de Andalucía.  Alto Cargo del Gobierno de la Junta de Andalucía, PSOE Secretario de Política Municipal  Delegado del Gobierno de Andalucía.  Comité Ejecutivo Federal del PSOE.	
Rodríguez Palacios, Javier;Madrid;PSOE;05/12/2023;05/12/2023;Grupo Parlamentario Socialista;05/12/2023;;Ingeniero agrónomo (Escuela Técnica Superior de Ingerioros Agrónomos de Madrid).  Alcalde de Alcalá de Henares (2015-2023). Secretario General de la Agrupación Socialista de Alcalá de Henares.
Rodríguez Salas, José Antonio;Granada;PSOE;17/08/2023;07/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Casado con una hija.  Estudios en Derecho ciclo antiguo.  Estudios en Ciencias Políticas y de la Administración (UNED)  Teniente Alcalde del Ayuntamiento de Jun, 1991-2005. Alcalde del Ayuntamiento de Jun, 2005-2018.  Diputado Provincial de Granada 2005-2007.  Asesor de la Presidencia del Gobierno 2018-2019.  Miembro de la Dirección Federal PSOE.  Secretario de Dinamización CEF PSOE.  Autor del Proyecto de Democracia Horizontal con el MIT
Rodríguez Serra, Santi;Barcelona;PP;17/08/2023;03/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Ingeniero Técnico de Telecomunicaciones.   Ingeniero Técnico Industrial.   Diplomado en Ciencias Empresariales.   Licenciado en Administración y Dirección de Empresas.   Actividad profesional, ingeniero.   1995-2015, Concejal del Ayuntamiento de Vilanova y la Geltrú.   2003-2021, Diputado Parlament Catalunya.   Desde 2021, Secretario General, Partido Popular de Catalunya. 
Rodríguez Suárez, Esther;S/C Tenerife;PSOE;12/12/2023;12/12/2023;Grupo Parlamentario Socialista;12/12/2023;;Diplomada en Trabajo Social. Trabajadora social en el Ilustre Ayuntamiento de San Sebastián de la Gomera durante 30 años de actividad social.
Rojas García, Carlos;Granada;PP;17/08/2023;02/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;"Dos hijas. 
Abogado. Licenciado en Derecho UGR. Cursos de doctorado en derecho internacional público UGR. PLP Emprendimiento y Sector Público Deusto Business School.
Alcalde de Motril en tres mandatos. Portavoz del Grupo Popular en el Parlamento de Andalucía."
Rojas Manrique, Juan Antonio;S/C Tenerife;PP;17/08/2023;08/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado, dos hijos.  Licenciado en Náutica y Transporte Marítimo.  Doctor por la Universidad de La Laguna.  Capitán de la Marina Mercante
Rojo Blas, Alberto;Guadalajara;PSOE;17/08/2023;08/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Casado, un hijo.  Diplomado en Ciencias Empresariales por la Universidad de Alcalá.  Alcalde de Guadalajara (2019-2023).  Delegado Provincial de la junta de comunidades de Castilla-La Mancha en Guadalajara (2015-2019)
Román Jasanada, Antonio;Guadalajara;PP;17/08/2023;03/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado, tres hijos.  Médico especialista en Medicina Interna.  FEA Hospital Guadalajara SESCAM.  Alcalde de Guadalajara (2007-2019).  Concejal del Ayuntamiento de Guadalajara (1995-2019).  Diputado en el Congreso (VII, X Legislatura).  Senador (VII, XII y XIV Legislatura).  Diputado Cortes CLM (2011)
Romaní Cantera, José Ignacio;Cádiz;PP;17/08/2023;16/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;"Doctor en ciencias Sociales y Jurídicas UCA  
Licenciado en Ciencias del Trabajo UCA  
Máster en gestión de Puertos y Logística UCA  
Máster en Gestión de Conflictos UCA 
Portavoz del Grupo Municipal Alto Cádiz (2014)  
Secretario General del Partido Popular en Cádiz capital  
Vicesecretario de Organización  del Partido Popular en la Provincia de Cádiz."
Romero Pozo, Rafaela;Gipuzkoa;PSE-EE (PSOE);17/08/2023;04/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Abogada de la UPU/EHU y militante del PSE-EE (PSOE) desde 1989.   Emigró junto a su familia con 2 años, a Mondragón, Guipúzcoa, donde pasó su infancia y adolescencia.   Actualmente reside en Donostia-San Sebastián, junto a su marido y su hija.   Licenciada en Derecho  UPV-EHU.   Postgrado superior en Mediación Laboral, Empresarial e Internacional por el ISEP, Universidad de Barcelona.   1995-1998 Concejal PSE-EE PSOE, Ayuntamiento Mondragón, (Gipuzkoa).   1999-2003.   Concejal PSE-EE PSOE, Ayuntamiento pasaría (Gipuzkoa).   2007-2011 Presidenta Juntas Generales de Gipuzkoa.   Juntera por el PSE-EE PSOE, Juntas Generales de Guipúzcoa, 1995-2015.   Portavoz del Grupo Juntero Socialistas Vascos, Juntas Generales de Guipúzcoa, 2011-2015.   Parlamentaria vasca en el Parlamento Vasco por el PSE-EE PSOE 2016-2019.   Diputada Foral de Movilidad y Ordenación del Territorio en el Gobierno foral de la Diputación Foral de Gipuzkoa 2019-2023.  Es hija predilecta de Quintana de la Serena, donde nació y a la que sigue unida personal y familiarmente  Poseedora de la Medalla al Mérito Policial, con distintivo Blanco, de la Policía Nacional, por su trabajo para el reconocimiento, empoderamiento y homenaje a las víctimas del terrorismo y en favor de la deslegitimación social y política del mismo.
Romero Vilches, María de los Reyes;Sevilla;VOX;17/08/2023;16/08/2023;Grupo Parlamentario VOX;18/08/2023;;Casada, madre de familia numerosa (cuatro hijos).   BUP.  Comercial  Vicepresidenta de VOX en Sevilla
Ros Martínez, Susana;Castellón/Castelló;PSOE;17/08/2023;03/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Casada, dos hijos.  Turismo  Concejala de Benicàssim (2003-2015)  Secretaria Ejecutiva PSOE contra la Violencia de Género
Rueda Perelló, Patricia;Málaga;VOX;17/08/2023;14/08/2023;Grupo Parlamentario VOX;18/08/2023;;Máster en Dirección de Empresas. Escuela de Organización  Industrial Executive MBA  Licenciatura en Publicidad y Relaciones Públicas.  Diplomatura en Educación Infantil
Rufián Romero, Gabriel;Barcelona;ERC;17/08/2023;16/08/2023;Grupo Parlamentario Republicano;28/08/2023;;"Diplomatura en Relaciones Laborales (UPF). Máster en Dirección de Recursos Humanos (UPF). 
Miembro Súmate. Ex Secretario ANC."
Ruiz Boix, Juan Carlos;Cádiz;PSOE;17/08/2023;03/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciado en Ciencias Económicas y Empresariales.  Técnico de Administración Especial Economía de la Diputación Provincial de Cádiz.  Secretario General PSOE Provincial Cádiz
Ruiz de Diego, Víctor Javier;Zaragoza;PSOE;12/12/2023;12/12/2023;Grupo Parlamentario Socialista;12/12/2023;;Licenciado en Derecho por la Universidad de Zaragoza. Abogado (1992-2023).  Alcalde de Catalatayud (2007-2010). Senador PSOE XIII y XIV Legislatura.
Ruiz de Pinedo Undiano, Iñaki;Araba/Álava;EH Bildu;17/08/2023;14/08/2023;Grupo Parlamentario Euskal Herria Bildu;18/08/2023;;Casado, dos hijos.  Sociólogo, consultor  Concejal en el Ayuntamiento de Vitoria-Gasteiz en varios periodos.  Miembro del Parlamento del País Vasco varias legislaturas.
Ruiz Solás, María de la Cabeza;Madrid;VOX;17/08/2023;14/08/2023;Grupo Parlamentario VOX;18/08/2023;;Licenciada en Periodismo.  Concejal del Ayuntamiento de Villaviciosa de Odón
Sáez Alonso-Muñumer, Pablo;Valladolid;VOX;17/08/2023;03/08/2023;Grupo Parlamentario VOX;18/08/2023;;Casado con dos hijos.  Licenciado en Ciencias Económicas y Empresariales (Económicas)  Auditor Censor Jurado de Cuentas.  Máster en Derecho Tributario y Asesoría Fiscal, CEREM  Programa de Desarrollo Directivo (PDD), IESE.  Miembro de VOX desde su fundación en 2014.  Miembro del Comité Ejecutivo Nacional y Vicesecretario Nacional del Consejo Político.  Experiencia financiera y directiva de 29 años en prestigiosas empresas multinacionales líderes en los sectores de servicios profesionales y correduría de seguros
Sáez Cruz, Emilio;Albacete;PSOE;17/08/2023;07/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Diplomado en Magisterio.   Tercer grado de Derecho.   Máster MBA, Executive Cámara Comercio AB.   Máster Energías Renovables y Gestión de la Energía EUDE.   Máster de Integración Social UA Madrid.   Alcalde de Albacete 2020, 2023.   Diputado autonómico 2015, 2019.   Secretario General PSOE Albacete.   Vicepresidente, CERMI España 1998-2002, Presidente COCEMFE-CLM, 2008.   Presidente, Asociación Nacional de Discapacidad Amiab.   Atleta paralímpico Barcelona 92.   Subcampeón del mundo de atletismo. 
Sagastizabal Unzetabarrenetxea, Idoia;Bizkaia;EAJ-PNV;17/08/2023;16/08/2023;Grupo Parlamentario Vasco (EAJ-PNV);18/08/2023;;Idiomas: Euskera y Castellano.  Licenciada en Derecho.  MBA Técnico de Empleo y Promoción Económica.  Concejal en Lekeitio actualmente.  Miembro del BBB (Bizkai Buru Batzar)
Sahuquillo García, Luis Carlos;Cuenca;PSOE;17/08/2023;01/08/2023;Grupo Parlamentario Socialista;28/08/2023;;"Tres hijos.  Diplomado Universitario en Trabajo Social.   
Funcionario de la Junta de Comunidades de Castilla - La Mancha.  
Secretario General de la Agrupación Provincial del PSOE de Cuenca, desde enero de 2018.  
Portavoz del Grupo Socialista en la Diputación de Cuenca de 1995 a 1999 y Vicepresidente Primero de la misma de 1999 a 2001.  
Director General de Servicios Sociales de  la Consejería de Bienestar Social de la JCCM de 2001 a 2003.  
Delegado provincial en Cuenca de Obras Públicas (2003-2004) y de Vivienda y Urbanismo (2004-2005).  
Delegado de la JCCM de 2005 hasta 2008."
