NOMBRE;CIRCUNSCRIPCION;FORMACIONELECTORAL;FECHACONDICIONPLENA;FECHAALTA;GRUPOPARLAMENTARIO;FECHAALTAENGRUPOPARLAMENTARIO;FECHABAJAENGRUPOPARLAMENTARIO;BIOGRAFIA
Ibáñez Hernando, Ángel;Burgos;PP;17/08/2023;08/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;"Licenciado en Ciencias Químicas, Universidad de Burgos, 1997.  Graduado en Ciencia Política y Gestión Pública, Universidad de Burgos, 2020. Premio Extraordinario de Grado.  Técnico Superior Innovación y Empleo (Grupo 1) desde 2000. Universidad de Burgos.  Concejal Hacienda y Nuevas Tecnologías Ayuntamiento de Burgos (2005-2011).  Vicealcalde, Portavoz, Concejal de Fomento, Ayuntamiento de Burgos (2011-2015).  Cortes de Castilla y León. Portavoz adjunto (2015-2016).  Viceportavoz (2016-2019 y 2022-2023).  
Presidente Cortes 2019.  Consejero de Presidencia Junta Castilla y León (2019-2022)"
Ibáñez Mezquita, Alberto;Valencia/València;SUMAR;17/08/2023;08/08/2023;Grupo Parlamentario Plurinacional SUMAR;28/08/2023;;Padre de una hija.   Estudios en Ciencias Políticas por la Universidad de Valencia.   Estudios en Educación Social por la Universitat Oberta de Catalunya.   Teniente Alcalde y Concejal de Cultura en Vila-Real (2011-2015).   Viceconsejero de Igualdad e Inclusión en la Generalitat 2015 2020, Portavoz de Compromís e Iniciativa, 2022-actualidad. 
Iniesta Egido, Isabel;Albacete;PSOE;17/08/2023;07/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Ingeniera técnica de Obras Públicas.   Máster en formación del profesorado.   Alcaldesa de Alpera, Albacete. 
Iñarritu García, Jon;Gipuzkoa;EH Bildu;17/08/2023;14/08/2023;Grupo Parlamentario Euskal Herria Bildu;18/08/2023;;Licenciado en Derecho (Universidad del País Vasco)  Máster en Derecho Internacional y Europeo (Université de Grenoble)  Senador en la XII Legislatura
Jalloul Muro, Hana;Madrid;PSOE;05/12/2023;05/12/2023;Grupo Parlamentario Socialista;05/12/2023;;Doctora por la Universidad Complutense. Departamento de Relaciones Internacionales y Derecho Internacional Público 2015.  Acreditación de profesora ayudante doctora 2018.  Máster en Unión Europea. Gestión de Recursos Comunitarios. UCM 2004-2005  Licenciatura en Ciencias Políticas y de la Administración. Especialidad en Relaciones Internacionales (1998-2003).   Erasmus Universidad UITOF (Holanda) 2001-2002  responsable de la Secretaría Internacioal y Cooperación al Desarrollo Ejecutiva Federal PSOE.  Vicepresidenta Internacioal Socialista  Diputada Asamblea de Madrid 2021-2023  Secretaria de Estado de Migraciones 2020-2021  Diputada Asamblea de Madrid 2019-2020  Asesora en el Gabinete Técnico del Delegado del Gobierno en Madrid 2018-2019  Junio Expert 2007-2010 Delegación de la Comisión Europea, Unión Europea y Líbano.  Proyecto Security and Rulls of Lan  Proyecto de investigación penal en todas las etapas de la cadena delictiva en Líbano  Asistente político Misión de Observación electoral de la UE (MOE) para las elecciones parlamentarias libanesas 2009
Jerez Antequera, Juan Carlos;Barcelona;PSC-PSOE;17/08/2023;02/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Casado, con dos hijas  Licenciado en Derecho, en Ciencias Políticas y en Criminología  Funcionario de Carrera. Técnico Superior de Administración Especial.  Sargento en excedencia de Policía Local  Ex-regidor del Ayuntamiento de Mataró, mandato 2015-2019 y 2019-2023
Jiménez Linuesa, Beatriz;Cuenca;PP;17/08/2023;02/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casada. Dos hijas  Maestra especialidad Educación Física, PT, AL, Infantil.   Funcionaria de Carrera.  Máster en Educación Secundaria.  Diputada Regional en las Cortes de Castilla-La Mancha 2011-2015  Concejal del Ayuntamiento de Cuenca 2012-2015
Jordà i Roura, Teresa;Barcelona;ERC;17/08/2023;10/08/2023;Grupo Parlamentario Republicano;28/08/2023;;Licenciada en Historia Moderna y Contemporánea.   Alcaldesa de Ripoll 2003-2011.   Consejera Gobierno de la Generalitat 2018-2023
Lago Peñas, Manuel;Coruña (A);SUMAR;06/02/2024;06/02/2024;Grupo Parlamentario Plurinacional SUMAR;06/02/2024;;Economista. Profesor de la ERLAC CORUÑA.  Asesor del Gabinete del Ministerio de Trabajo y Economía Social.  Diputado del Parlamento de Galicia 2016/2020
Lamuà Estañol, Marc;Girona;PSC-PSOE;17/08/2023;04/08/2023;Grupo Parlamentario Socialista;01/09/2023;;"Casado. Dos hijos. 
Doctor en Arqueología. Máster universitario en Formación del Profesorado de Secundaria. Licenciado en Historia. Licenciado en Historia del Arte. 
Secretario de Organización PSC Comarques Gironines."
Lastra Fernández, Adriana;Asturias;PSOE;17/08/2023;08/08/2023;Grupo Parlamentario Socialista;28/08/2023;;"Casada. 
Diputada en la Junta General del Principado de Asturias (2007-2015). 
Secretaria de Política Municipal del PSOE (julio 2014-octubre 2016)."
Leal Fernández, Isaura;Madrid;PSOE;17/08/2023;09/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Divorciada. Un hijo.  Licenciada en Derecho por la Universidad de Valladolid.  Consejería de Obras Públicas y Ordenación del Territorio de la Junta de Castilla y León.  Asesoría Jurídica y Secretaría General de la FEMP.  Secretaria de Función Pública de la Comisión ejecutiva Federal del PSOE.  Diputada Autonómica Asamblea de Madrid.  Portavoz de la Comisión de Control del Ente Público Radio Televisión de Madrid.  Portavoz Adjunta de la Comisión de Vigilancia de Contrataciones.  Vocal de la Comisión de Investigación sobre corrupción política en la Comunidad de Madrid.  Comisionada del Gobierno Frente al Reto Demográfico.  Presidenta de la Comisión de Justicia en la XIV Legislatura   Presidenta de la Comisión de Política Territorial y Función Pública en la XIII Legislatura     Presidenta de la Comisión de Investigación relativa a la utilización ilegal de efectivos, medios y recursos del Ministerio del Interior, con la finalidad de favorecer intereses políticos del PP y de anular pruebas inculpatorias para este partido en casos de corrupción, durante los mandatos de Gobierno del Partido Popular en la XIV Legislatura   Portavoz adjunta y Secretaria General del Grupo Parlamentario Socialista del Congreso en la XIV Legislatura  
Legarda Uriarte, Mikel;Araba/Álava;EAJ-PNV;17/08/2023;16/08/2023;Grupo Parlamentario Vasco (EAJ-PNV);18/08/2023;;Licenciado en Derecho por la Universidad de Deusto.  Funcionario de Carrera. Letrado de los Servicios Jurídicos Centrales del Gobierno Vasco.  Director de Desarrollo Autonómico y Transferencias del Gobierno Vasco.  Viceconsejero de Seguridad del Gobierno Vasco.  Asesor de Asuntos Constitucionales y Asesor de Asuntos Parlamentarios.
Lima García, Laura María;S/C Tenerife;PP;17/08/2023;08/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Grado en Derecho en la Universidad de la Laguna.   Máster Acceso a la Abogacía en la UNED.   Máster Derecho Urbanístico en la Universidad de la Laguna.   Concejal de Hacienda y Nuevas Tecnologías, 2015-2019.   Sexta Teniente de Alcalde, Concejal de Urbanismo, Industria y Nuevas Tecnologías, 2019-2023. 
Llamazares Domingo, Esther;Asturias;PP;17/08/2023;16/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;TS Gestión Comercial y Máster en Administración de Empresas. Experto Universitario en Protocolo. Mediadora Empresarial. Coach Ejecutivo. Empresa Autónomo. Directora de Marketing del Real Oviedo. Directora General del Real Avilés. Gerente Sociedades Tercera Edad.  Portavoz municipal del Grupo Popular (2019-2023) (2023 - 2027). Secretaria General PP Avilés (Asturias).  Presidenta de la AECC en Avilés (2016-2019). Cofrade de la Cofradía del Mal Colesterol Bueno. Miembro del Rotary Club Balagares Comarca Avilés
Llorens Carbonell, Teresa;Barcelona;PSC-PSOE;17/08/2023;02/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciada en Filosofía y Ciencias de la Educación  Máster en Dirección Administración Pública  Postgrado en Función Gerencial  Primera Teniente Alcaldía del Ayuntamiento de Vilanova i la Geltrú
López Álvarez, Patxi;Bizkaia;PSE-EE (PSOE);17/08/2023;04/08/2023;Grupo Parlamentario Socialista;28/08/2023;;"Casado. 
Lehendakari de mayo de 2009 a diciembre de 2012. 
Parlamentario vasco de 1991 a 2014. 
Presidente del Congreso de los Diputados en la XI Legislatura. 
Estudió Ingeniería Industrial en la Universidad del País Vasco. 
Militante del PSOE desde 1977."
López Cano, Ignacio;Málaga;PSOE;17/08/2023;11/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciado en Derecho.  Máster en Dirección de Empresas.  Máster en Derecho y Gestión del Transporte.  Técnico Jurídico del Consorcio de Transporte Metropolitano de Málaga. Secretario de Política Institucional CER PSOE-Andalucía.  Ex Director E.P.E. Salvamento y Seguridad Marítima.
López Maraver, Ángel;Guadalajara;VOX;17/08/2023;03/08/2023;Grupo Parlamentario VOX;18/08/2023;;Una hija.  Licenciado en Comunicación Audiovisual.  Licenciado en Periodismo  Máster en Periodismo.  Responsable de comunicación  Presidente de la Real Federación Española de Caza
López Tagliafico, Candela;Barcelona;SUMAR;30/01/2024;30/01/2024;Grupo Parlamentario Plurinacional SUMAR;30/01/2024;;Madre de un niño de un año. Residente en Castelldefels.  Diplomada en Gestión Administración Pública.  Licenciada en Relaciones Laborales.  Concejal desde 2011 en el Ayuntamiento de Castelldefels. Alcaldesa 2015-2017.  Coordinadora de los Comunes  Vicepresidenta de la Diputación de Barcelona 2023.
López Zamora, Cristina;Ciudad Real;PSOE;12/12/2023;12/12/2023;Grupo Parlamentario Socialista;12/12/2023;;"Nacida en Ciudad Real, natural de Corral de Catalatrava. 
Administrativo contable.  Estudios de Grado de Administración y Dirección de Empresas.  Portavoz del PSOE Provincial de Ciudad Real"
Lorente Anaya, Macarena;Cádiz;PP;17/08/2023;02/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciada en Derecho Universidad Complutense.   Máster en Práctica Jurídica.   Abogada de fundación socio labor Andalucía.   Abogada con despacho propio.   2019-2023 Concejal del Ayuntamiento de Rota (Cádiz).   2023-2027 Concejal del Ayuntamiento de Rota (Cádiz). 
Lorenzo Cazorla, Juan Antonio;Almería;PSOE;28/11/2023;28/11/2023;Grupo Parlamentario Socialista;28/11/2023;;"Casado. Tres hijos. 
Arquitecto técnico (Universidad de Sevilla).  
Alcalde del Ayuntamiento de Serón (Almería) (1999-2022).
Diputado provincial (Almería) (2015-2022).
Parlamentario andaluz (2022-2023)."
