codigo_mun,mun,election,censo,perc_escrutado,blancos,nulos,candidaturas,part,codigo_candidatura,partido,orden,votos,perc_votos
32014,A Bola,2024,951,100,1,2,720,76.02,0012,PACMA,7,2,0.27
32015,O Bolo,2024,735,100,3,3,452,62.31,0004,SUMAR,5,2,0.43
32016,Calvos de Randín,2024,612,100,2,4,425,70.42,0001,PODEMOS,8,1,0.23
32017,Carballeda de Valdeorras,2024,1068,100,2,3,729,68.72,0017,DO,6,8,1.09
32018,Carballeda de Avia,2024,1100,100,5,10,788,73,0001,PODEMOS,8,2,0.25
32019,O Carballiño,2024,11281,100,54,57,7310,65.78,0011,VOX,4,148,2
32020,Cartelle,2024,2309,100,5,3,1709,74.36,0004,SUMAR,5,4,0.23
32021,Castrelo do Val,2024,857,100,6,3,601,71.17,0012,PACMA,7,5,0.82
32022,Castrelo de Miño,2024,1192,100,8,7,864,73.74,0012,PACMA,7,2,0.22
32023,Castro Caldelas,2024,1101,100,2,8,780,71.75,0012,PACMA,7,5,0.63
32024,Celanova,2024,4741,100,22,15,3188,68.02,0004,SUMAR,5,9,0.28
32025,Cenlle,2024,936,100,1,11,718,77.99,0011,VOX,4,7,0.97
32026,Coles,2024,2755,100,13,10,1859,68.31,0004,SUMAR,5,16,0.85
32027,Cortegada,2024,919,100,4,6,669,73.88,0001,PODEMOS,8,4,0.59
32028,Cualedro,2024,1457,100,4,6,1023,70.89,0012,PACMA,7,1,0.09
32029,Chandrexa de Queixa,2024,457,100,0,3,301,66.52,0009,PUM+J,11,0,0
32030,Entrimo,2024,907,100,3,1,622,69.01,0012,PACMA,7,2,0.32
32031,Esgos,2024,981,100,5,7,711,73.7,0004,SUMAR,5,2,0.27
32032,Xinzo de Limia,2024,7715,100,33,52,5126,67.54,0004,SUMAR,5,15,0.29
32033,Gomesende,2024,604,100,5,3,375,63.41,0004,SUMAR,5,1,0.26
32034,A Gudiña,2024,992,100,6,6,707,72.47,0004,SUMAR,5,4,0.56
32035,O Irixo,2024,1251,100,5,1,808,65.06,0013,ECG,10,8,0.98
32036,Xunqueira de Ambía,2024,1194,100,8,2,917,77.63,0004,SUMAR,5,5,0.54
32037,Xunqueira de Espadanedo,2024,603,100,3,0,424,70.81,0004,SUMAR,5,2,0.46
32038,Larouco,2024,389,100,1,3,250,65.29,0004,SUMAR,5,2,0.79
32039,Laza,2024,1070,100,4,3,775,73.08,0001,PODEMOS,8,4,0.51
32040,Leiro,2024,1313,100,4,3,952,73.03,0001,PODEMOS,8,4,0.41
32041,Lobeira,2024,690,100,0,5,428,62.75,0001,PODEMOS,8,2,0.46
32042,Lobios,2024,1570,100,8,8,974,63.05,0011,VOX,4,9,0.91
32043,Maceda,2024,2418,100,18,19,1573,66.58,0013,ECG,10,10,0.62
32044,Manzaneda,2024,714,100,2,5,532,75.49,0011,VOX,4,3,0.56
32045,Maside,2024,2328,100,9,25,1612,70.7,0013,ECG,10,21,1.29
32046,Melón,2024,1023,100,1,7,687,67.93,0006,ESCANOS EN BRANCO,9,3,0.43
32047,A Merca,2024,1713,100,1,1,1240,72.5,0004,SUMAR,5,5,0.4
32048,A Mezquita,2024,811,100,0,3,504,62.51,0013,ECG,10,2,0.39
32049,Montederramo,2024,630,100,4,0,437,70,0004,SUMAR,5,1,0.22
32050,Monterrei,2024,2179,100,11,11,1637,76.13,0004,SUMAR,5,2,0.12
32051,Muíños,2024,1319,100,5,7,1042,79.9,0012,PACMA,7,3,0.28
32052,Nogueira de Ramuín,2024,1820,100,11,3,1294,71.86,0004,SUMAR,5,4,0.3
32053,Oímbra,2024,1256,100,9,7,944,76.43,0012,PACMA,7,1,0.1
32054,Ourense,2024,83561,100,404,358,56932,69.04,0004,SUMAR,5,309,0.53
32055,Paderne de Allariz,2024,1187,100,7,6,803,68.74,0004,SUMAR,5,5,0.61
32056,Padrenda,2024,1368,100,5,5,975,72,0013,ECG,10,7,0.71
32057,Parada de Sil,2024,463,100,2,1,294,64.14,0012,PACMA,7,2,0.67
32058,O Pereiro de Aguiar,2024,5503,100,22,21,3993,73.34,0004,SUMAR,5,24,0.59
32059,A Peroxa,2024,1593,100,7,6,1130,71.75,0012,PACMA,7,4,0.35
32060,Petín,2024,745,100,6,4,490,67.11,0004,SUMAR,5,3,0.6
32061,Piñor,2024,991,100,4,2,777,79.01,0011,VOX,4,9,1.15
32062,Porqueira,2024,780,100,2,3,583,75.38,0006,ESCANOS EN BRANCO,9,2,0.34
32063,A Pobra de Trives,2024,1713,100,13,7,1143,67.89,0004,SUMAR,5,6,0.51
32064,Pontedeva,2024,419,100,1,0,307,73.5,0004,SUMAR,5,1,0.32
32065,Punxín,2024,660,100,1,1,407,61.96,0013,ECG,10,1,0.24
32066,Quintela de Leirado,2024,516,100,0,0,351,68.02,0009,PUM+J,11,0,0
32067,Rairiz de Veiga,2024,1119,100,2,3,781,70.24,0006,ESCANOS EN BRANCO,9,2,0.25
32068,Ramirás,2024,1312,100,3,5,855,65.77,0004,SUMAR,5,5,0.58
32069,Ribadavia,2024,4170,100,10,19,3116,75.41,0004,SUMAR,5,27,0.86
32070,San Xoán de Río,2024,481,100,2,2,297,62.57,0006,ESCANOS EN BRANCO,9,2,0.66
32071,Riós,2024,1244,100,3,7,796,64.79,0009,PUM+J,11,1,0.12
32072,A Rúa,2024,3506,100,15,24,2230,64.71,0004,SUMAR,5,22,0.97
32073,Rubiá,2024,1233,100,5,7,841,69.18,0004,SUMAR,5,9,1.06
