election,codigo_mun,mun,censo,votantes,part,candidaturas,blancos,nulos,abstenciones,partido,votos,votos_pc
1985,15053,Muros,9063,NA,NA,5125,0,NA,NA,CG,519,10.13
1985,15053,Muros,9063,NA,NA,5125,0,NA,NA,EG,167,3.26
1985,15053,Muros,9063,NA,NA,5125,0,NA,NA,BNG,576,11.24
1985,15053,Muros,9063,NA,NA,5125,0,NA,NA,Otros,273,5.33
1985,15042,Lousame,3868,NA,NA,2303,0,NA,NA,PP,464,20.15
1985,15042,Lousame,3868,NA,NA,2303,0,NA,NA,PSG-PSOE,1016,44.12
1985,15042,Lousame,3868,NA,NA,2303,0,NA,NA,CG,482,20.93
1985,15042,Lousame,3868,NA,NA,2303,0,NA,NA,EG,49,2.13
1985,15042,Lousame,3868,NA,NA,2303,0,NA,NA,BNG,100,4.34
1985,15042,Lousame,3868,NA,NA,2303,0,NA,NA,Otros,192,8.34
1985,15057,Noia,10484,NA,NA,6942,0,NA,NA,PP,1999,28.8
1985,15057,Noia,10484,NA,NA,6942,0,NA,NA,PSG-PSOE,2529,36.43
1985,15057,Noia,10484,NA,NA,6942,0,NA,NA,CG,897,12.92
1985,15057,Noia,10484,NA,NA,6942,0,NA,NA,EG,343,4.94
1985,15057,Noia,10484,NA,NA,6942,0,NA,NA,BNG,472,6.8
1985,15057,Noia,10484,NA,NA,6942,0,NA,NA,Otros,702,10.11
1985,15062,Outes,7865,NA,NA,4096,0,NA,NA,PP,1751,42.75
1985,15062,Outes,7865,NA,NA,4096,0,NA,NA,PSG-PSOE,1296,31.64
1985,15062,Outes,7865,NA,NA,4096,0,NA,NA,CG,452,11.04
1985,15062,Outes,7865,NA,NA,4096,0,NA,NA,EG,155,3.78
1985,15062,Outes,7865,NA,NA,4096,0,NA,NA,BNG,126,3.08
1985,15062,Outes,7865,NA,NA,4096,0,NA,NA,Otros,316,7.71
1985,15071,Porto do Son,8288,NA,NA,4943,0,NA,NA,PP,1136,22.98
1985,15071,Porto do Son,8288,NA,NA,4943,0,NA,NA,PSG-PSOE,2369,47.93
1985,15071,Porto do Son,8288,NA,NA,4943,0,NA,NA,CG,401,8.11
1985,15071,Porto do Son,8288,NA,NA,4943,0,NA,NA,EG,150,3.03
1985,15071,Porto do Son,8288,NA,NA,4943,0,NA,NA,BNG,155,3.14
1985,15071,Porto do Son,8288,NA,NA,4943,0,NA,NA,Otros,732,14.81
1985,15024,Cerceda,5716,NA,NA,3011,0,NA,NA,PP,1408,46.76
1985,15024,Cerceda,5716,NA,NA,3011,0,NA,NA,PSG-PSOE,733,24.34
1985,15024,Cerceda,5716,NA,NA,3011,0,NA,NA,CG,625,20.76
1985,15024,Cerceda,5716,NA,NA,3011,0,NA,NA,EG,49,1.63
1985,15024,Cerceda,5716,NA,NA,3011,0,NA,NA,BNG,60,1.99
1985,15024,Cerceda,5716,NA,NA,3011,0,NA,NA,Otros,136,4.52
1985,15038,Frades,2750,NA,NA,1330,0,NA,NA,PP,308,23.16
1985,15038,Frades,2750,NA,NA,1330,0,NA,NA,PSG-PSOE,175,13.16
1985,15038,Frades,2750,NA,NA,1330,0,NA,NA,CG,696,52.33
1985,15038,Frades,2750,NA,NA,1330,0,NA,NA,EG,27,2.03
1985,15038,Frades,2750,NA,NA,1330,0,NA,NA,BNG,29,2.18
1985,15038,Frades,2750,NA,NA,1330,0,NA,NA,Otros,95,7.14
1985,15047,Mesía,3403,NA,NA,1485,0,NA,NA,PP,831,55.96
1985,15047,Mesía,3403,NA,NA,1485,0,NA,NA,PSG-PSOE,312,21.01
1985,15047,Mesía,3403,NA,NA,1485,0,NA,NA,CG,107,7.21
1985,15047,Mesía,3403,NA,NA,1485,0,NA,NA,EG,23,1.55
1985,15047,Mesía,3403,NA,NA,1485,0,NA,NA,BNG,117,7.88
1985,15047,Mesía,3403,NA,NA,1485,0,NA,NA,Otros,95,6.4
1985,15059,Ordes,8531,NA,NA,4506,0,NA,NA,PP,1835,40.72
1985,15059,Ordes,8531,NA,NA,4506,0,NA,NA,PSG-PSOE,1042,23.12
1985,15059,Ordes,8531,NA,NA,4506,0,NA,NA,CG,920,20.42
1985,15059,Ordes,8531,NA,NA,4506,0,NA,NA,EG,144,3.2
1985,15059,Ordes,8531,NA,NA,4506,0,NA,NA,BNG,67,1.49
1985,15059,Ordes,8531,NA,NA,4506,0,NA,NA,Otros,498,11.05
1985,15060,Oroso,2845,NA,NA,1272,0,NA,NA,PP,502,39.47
1985,15060,Oroso,2845,NA,NA,1272,0,NA,NA,PSG-PSOE,318,25
1985,15060,Oroso,2845,NA,NA,1272,0,NA,NA,CG,273,21.46
1985,15060,Oroso,2845,NA,NA,1272,0,NA,NA,EG,36,2.83
1985,15060,Oroso,2845,NA,NA,1272,0,NA,NA,BNG,42,3.3
1985,15060,Oroso,2845,NA,NA,1272,0,NA,NA,Otros,101,7.94
1985,15084,Tordoia,4844,NA,NA,2197,0,NA,NA,PP,1475,67.14
1985,15084,Tordoia,4844,NA,NA,2197,0,NA,NA,PSG-PSOE,250,11.38
1985,15084,Tordoia,4844,NA,NA,2197,0,NA,NA,CG,243,11.06
